track_id,album_id,artist_id,track,artist,album_name,played_at,album_date,album_pic,duration_ms,genres
6aJpPH5jhRicPvPkoHkcuF,4Q7cPyiP8cMIlUEHAqeYfd,36QJpDe2go2KgaRleHCDTp,In the Light - Remaster,Led Zeppelin,Physical Graffiti (Remaster),2026-05-02T12:00:20,1975-02-24,https://i.scdn.co/image/ab67616d00001e025273ac7ada6725bc36a2bcd0,527947,Classic Rock/Rock/Hard Rock/Rock And Roll
7nmtVN5HhcdBPfi3oA3437,6C22QvOc4ombgUjY1M1ASN,55wOEGTc3QKwBJ9gntcOxT,Light Flight,Pentangle,Basket of Light,2026-05-02T11:55:42,1969-10-01,https://i.scdn.co/image/ab67616d00001e02d9587ababd13bd90db19ebd1,194333,Folk Rock/Folk/Traditional Folk
5CGpPUcUahMuLzkNK9ZgPP,0tAMTTxU0e84QFhrNhQNIT,1CD77o9fbdyQFrHnUPUEsF,Dear Mr. Fantasy,Traffic,Mr. Fantasy,2026-05-02T11:47:47,1967-12-08,https://i.scdn.co/image/ab67616d00001e02607f5d1d15bdb8a450840ccf,334000,Psychedelic Rock/Acid Rock/Classic Rock/Progressive Rock
6nl0oUn7TlqoUc59BOG0XS,1dbVSQR5jcw5rdngMyA3d8,7M1FPw29m5FbicYzS2xdpi,Neurotica,King Crimson,The Condensed 21st Century Guide To King Crimson (1969 - 2003),2026-05-02T11:42:16,2006-10-16,https://i.scdn.co/image/ab67616d00001e02e0d2d12a833288b2ecc09c9d,290026,Progressive Rock/Art Rock/Psychedelic Rock
6vXIkR2kEsGFPm82hWweNI,1OBtRar4d9lrRTVOdrPOMI,3UtSTTCQ0EMUQxmsfZ3Px1,Back Street Luv,Curved Air,Second Album,2026-05-02T11:37:16,2005-05-24,https://i.scdn.co/image/ab67616d00001e0216ea9046e915f6cb838771a5,216906,Progressive Rock/Art Rock/Krautrock
6PnG9i1lpihdIBHHFg0M6Y,6RjHOFz283XfJ7o7RwqaIT,5U16QlMnlSAhkQxBZpLyLO,Mr Evasion,The Pretty Things,S.F. Sorrow,2026-05-02T11:33:46,1968-12,https://i.scdn.co/image/ab67616d00001e0245cf1c7fbf50c56b23965af6,210333,Psychedelic Rock/Acid Rock/Proto-punk/Garage Rock
0VLETiR8ft4wZHlCQf3UAf,2DZEwt8Lhz6PuqxsJWF7Ap,3Uz6jx81OY2J5K8Z4wmy2P,Freefall,Camel,Mirage,2026-05-02T11:30:16,1974-01-01,https://i.scdn.co/image/ab67616d00001e0211537abd008a150b3f88dcaf,352853,Progressive Rock/Art Rock/Space Rock/Psychedelic Rock/Krautrock
26oHuX40kl6CbJOE2fYzp2,5KlxVQrxfXom4ttbE6trkc,3UtSTTCQ0EMUQxmsfZ3Px1,Vivaldi,Curved Air,Air Conditioning,2026-05-02T11:24:16,2005-01-01,https://i.scdn.co/image/ab67616d00001e02a3d71566b5f961566e626dd9,450560,Progressive Rock/Art Rock/Krautrock
75gb1H0F5IumlnwhjnB08B,2JyNDhGhp0hiizSPuUs0i9,67ea9eGLXYMsO2eYQRui3w,Rael - Pt.1 & Pt.2,The Who,The Who Sell Out (Super Deluxe),2026-05-02T11:16:47,2021-04-23,https://i.scdn.co/image/ab67616d00001e0234894946601823e27fc08538,338826,Classic Rock/Rock
3aPHB4pU4fPbPqcoSng1K0,4RD4REp6RE2kVZ96Uf1TgB,4lianjyuR1tqf6oUX8kjrZ,No U Turn - Live 1988 / Remastered 2020,Franco Battiato,Giubbe Rosse (Deluxe 30th Anniversary Live & Remastered Edition / Remastered 2020),2026-05-02T11:01:38,1989,https://i.scdn.co/image/ab67616d00001e02554a20c25a51b6d57c2d489d,264133,Italian Singer-songwriter/Singer-songwriter
7l2Gh3fSaknNtzOxFuadeC,3gISC18IyM5W4fd3bVz9hk,1MD5pgVzlusqGyuSTcTxvu,Nuvole Nere,Premiata Forneria Marconi,Serendipity,2026-05-02T10:57:08,2000-09-15,https://i.scdn.co/image/ab67616d00001e025ae6367ad36cebcb63b771f3,247133,Progressive Rock/Italian Singer-songwriter/Art Rock
4796ITs2bZ9Mys2nnG37qf,0b33cACjsSPVBchGgsFGMu,4lianjyuR1tqf6oUX8kjrZ,Ermeneutica,Franco Battiato,Universi paralleli di Franco Battiato,2026-05-02T10:53:09,2018-09-28,https://i.scdn.co/image/ab67616d00001e021773a7b8623a39d8da4ed9e6,214213,Italian Singer-songwriter/Singer-songwriter
4PCwwYtVKob3Xhe4mQ6TFl,6NiJ8vCXUZoeqUIyhUDNZX,45Utoxop3UFq0Qg9YFLhx0,La Porta Chiusa,Le Orme,Uomo Di Pezza,2026-05-02T10:49:38,1972-01-01,https://i.scdn.co/image/ab67616d00001e027a91ff106b8756c8ad5e7d8f,450826,Progressive Rock/Italian Singer-songwriter
4NAP1NmknfmMkKuDi4fhxI,1uXol4dKqzMsUiqvHpwhZh,7AC976RDJzL2asmZuz7qil,Siberian Khatru - 2025 Remaster,Yes,Close to the Edge (Super Deluxe Edition),2026-05-02T10:42:08,1972-09-08,https://i.scdn.co/image/ab67616d00001e02593f4d2b1bcf28ac44459ddf,537373,Progressive Rock/Art Rock/Aor
7g0XgioAO3q8iBUQNoEAye,0aeV2p7ZUhm9Q2PJAizF7a,70tMW5bZT3TJUa1CWtfVkq,San Franciscan Nights,Eric Burdon & the Animals,Winds Of Change,2026-05-02T10:33:32,1967-10-01,https://i.scdn.co/image/ab67616d00001e02c54ef4f37c08e04010201b7a,199373,Psychedelic Rock/Acid Rock
