track,short,plays,track_unique_days,log_dur_min,track_score
Films,Films,2,2,1.425515074273172,10.56
"Lemmings - Live From L'Altro Mondo, Rimini, Italy/1975",Lemmings,1,1,2.815408719422709,10.54
Ombre Amiche - Italian version,Ombre Amiche,2,2,1.415853163361435,10.54
Focus II,Focus II,2,2,1.4011829736136412,10.5
Engineers,Engineers,2,2,1.3912819026309295,10.48
The Raven,The Raven,2,2,1.3787660946990992,10.45
Turn Your Back on Me - Thompson & Barbiero US Mix,Turn Your Back on Me,2,2,1.3737155789130306,10.43
Así Soy Yo,Así Soy Yo,2,2,1.3711807233098423,10.43
E Ti Vengo A Cercare - Live 1988 / Remastered 2020,E Ti Vengo A Cercare,2,2,1.3737155789130306,10.43
Don't Kill the Whale,Don't Kill the Whale,2,2,1.3686394258811698,10.42
Enjoy the Silence - Timo Maas Extended Remix,Enjoy the Silence,2,1,2.166765369851511,10.42
La Rivoluzione - Radio Edit,La Rivoluzione,2,2,1.3686394258811698,10.42
Heartbeat,Heartbeat,2,2,1.3635373739972745,10.41
Centro Di Gravità Permanente - Live 1988 / Remastered 2020,Centro Di Gravità Permanente,2,2,1.358409157630355,10.4
Lode All'Inviolato - 2008 Remaster,Lode All'Inviolato,2,2,1.358409157630355,10.4
Canto nomade per un prigioniero politico,Canto nomade per un prigioniero politico,1,1,2.7587433154177283,10.4
Weirdo - 2024 Digital Master,Weirdo,2,2,1.355835153635182,10.39
Afraid of You,Afraid of You,2,2,1.3532545070416904,10.38
Orange Crush - Remastered 2013,Orange Crush,2,2,1.3506671834767394,10.38
Jigsaw,Jigsaw,2,2,1.3532545070416904,10.38
Random,Random,2,2,1.3428648031925547,10.36
Squid/Octopus - Remastered 2021,Squid/Octopus,1,1,2.7350166493320245,10.34
Andy Nogger,Andy Nogger,2,2,1.3376291891386096,10.34
Mr. Non Lo So - Italian version,Mr. Non Lo So,2,2,1.3376291891386096,10.34
Corpi In Movimento,Corpi In Movimento,2,1,2.130609828254235,10.33
Il cammino interminabile,Il cammino interminabile,2,2,1.3190856114264409,10.3
Running Against The Grain,Running Against The Grain,2,2,1.308332819650179,10.27
Magician Man,Magician Man,2,2,1.308332819650179,10.27
Words On A Page - Demo,Words On A Page,2,2,1.308332819650179,10.27
Transumanza Jam - Italian version,Transumanza Jam,2,2,1.3001916620664788,10.25
Back Street Luv,Back Street Luv,2,2,1.2864740258376797,10.22
The Spider And The Fly - Remastered 2002,The Spider And The Fly,2,2,1.289232648276759,10.22
"Rent - 7"" Mix; 2018 Remaster",Rent,2,2,1.2809338454620642,10.2
Sartori in Tangier,Sartori in Tangier,2,2,1.275362800412609,10.19
Big Indian,Big Indian,2,2,1.275362800412609,10.19
23 coppie di cromosomi,23 coppie di cromosomi,2,2,1.2725655957915476,10.18
Il Vuoto,Il Vuoto,2,2,1.2725655957915476,10.18
Mr Evasion,Mr Evasion,2,2,1.2556160374777745,10.14
Rattlesnake Shake - 2013 Remaster,Rattlesnake Shake,2,2,1.252762968495368,10.13
Do I,Do I,2,2,1.247032293786383,10.12
Lettera Al Governatore Della Libia - Live 1988 / Remastered 2020,Lettera Al Governatore Della Libia,2,2,1.235471471385307,10.09
Horse Pills,Horse Pills,2,2,1.2267122912954254,10.07
Tra sesso e castità,Tra sesso e castità,2,2,1.229640551074514,10.07
The Cat,The Cat,2,2,1.2237754316221157,10.06
Mente de Mi Subconsciente,Mente de Mi Subconsciente,2,2,1.2178757094949273,10.04
Country Leaver,Country Leaver,2,2,1.2178757094949273,10.04
Fortezza Bastiani,Fortezza Bastiani,2,2,1.208960345836975,10.02
Larks' Tongues In Aspic (Part I),Larks' Tongues In Aspic (Part I),1,1,2.6093342281630525,10.02
Airlane,Airlane,2,2,1.1969481893889715,9.99
Mondi Paralleli - Italian version,Mondi Paralleli,2,2,1.1908875647772803,9.98
New Frontiers - 2008 Remaster,New Frontiers,2,2,1.181727195378616,9.95
Paloma Ausente,Paloma Ausente,2,2,1.172482137234565,9.93
Il Dono Del Cervo,Il Dono Del Cervo,2,2,1.169381359556317,9.92
Complex,Complex,2,2,1.1662709371419244,9.92
The Snow Goose - Remastered 2023,The Snow Goose,2,2,1.1631508098056809,9.91
Get Off,Get Off,2,2,1.1568811967920856,9.89
Lode All'Inviolato - Live 2003,Lode All'Inviolato,2,2,1.1568811967920856,9.89
Sound Chaser - Single Edit,Sound Chaser,2,2,1.1505720275988207,9.88
Theme One - New Stereo Mix 2021,Theme One,2,2,1.1537315878891892,9.88
"A Louse Is Not A Home - Live, 2005 Digital Remaster",A Louse Is Not A Home,1,1,2.5494451709255714,9.87
Cara Sin Cruz,Cara Sin Cruz,2,2,1.1474024528375415,9.87
Solid,Solid,2,2,1.144222799920162,9.86
Childlike Faith In Childhood's End - 2005 Digital Remaster,Childlike Faith In Childhood's End,1,1,2.5368663887187117,9.84
L'animale,L'animale,2,2,1.1314021114911006,9.83
Eastern Numbers - Early Version of Awaken,Eastern Numbers,1,1,2.5079719227189963,9.77
Luminol,Luminol,1,1,2.498973906999436,9.75
Cuccurucucù - Live 1988 / Remastered 2020,Cuccurucucù,2,2,1.091923300517313,9.73
"(In The) Black Room/The Tower - Live From L'Altro Mondo, Rimini, Italy/1975",(In The) Black Room/The Tower,1,1,2.466403178223441,9.67
Observer,Observer,2,2,1.0612565021243408,9.65
Lemmings (Including Cog) - Remastered 2005,Lemmings (Including Cog),1,1,2.4553061800117097,9.64
Tracks,Tracks,2,2,1.0508216248317612,9.63
Pigs (Three Different Ones),Pigs (Three Different Ones),1,1,2.437115985951652,9.59
White Feathers - Manhattan Clique Remix Instrumental,White Feathers,2,1,1.8309801823813363,9.58
White Feathers - Manhattan Clique Remix,White Feathers,2,1,1.8309801823813363,9.58
Animal,Animal,2,2,1.0260415958332745,9.57
Lost - Remastered 2021,Lost,1,1,2.414126467726953,9.54
