artist,track,track_score
King Crimson,Thela Hun Ginjeet,8.95
Depeche Mode,Waiting for the Night,8.87
Premiata Forneria Marconi,Dove... quando... - II Parte,8.86
Aphrodite's Child,The Four Horsemen,8.82
Mezquita,Desde Que Somos Dos - Remasterizado,8.79
Banco Del Mutuo Soccorso,750.000 anni fa... l'amore?,8.77
The Dandy Warhols,Nietzsche,8.77
Banco Del Mutuo Soccorso,L'assalto dei lupi,8.75
Jerry Garcia Band,Cats Under The Stars,8.73
The Dandy Warhols,Mohammed,8.69
The Dandy Warhols,Godless,8.69
Kajagoogoo,Melting the Ice Away,8.68
Mezquita,La Ultima Juerga,8.68
Yes,Tempus Fugit,8.66
Billy Cobham,Some Skunk Funk,8.64
Franco Battiato,Up Patriots To Arms - Remastered 2008,8.62
Kajagoogoo,Turn Your Back on Me - Extended Mix,8.62
The Dandy Warhols,Good Morning,8.6
King Crimson,Cat Food,8.57
Franco Battiato,L'Isola Elefante,8.57
Banco Del Mutuo Soccorso,Il Ragno,8.57
King Crimson,Neurotica,8.55
Kajagoogoo,Islands,8.55
Bad Company,Seagull,8.54
Franco Battiato,Gli Uccelli - Remastered 2021,8.54
Angelo Branduardi,La Pulce D'Acqua,8.53
Kajagoogoo,The Loop,8.51
King Crimson,The Night Watch,8.51
Traffic,Empty Pages - Remastered 2010,8.48
Aphrodite's Child,The Lamb,8.48
Mezquita,Ara Buza (Dame Un Beso) - Remasterizado,8.48
Bob Dylan,Man Gave Names to All the Animals,8.45
Premiata Forneria Marconi,Cyber Alpha,8.45
Franco Battiato,Oceano Di Silenzio - Live 1988 / Remastered 2020,8.44
Mezquita,El Bizco De Los Patios - Remasterizado,8.41
Kajagoogoo,On a Plane,8.38
America,A Horse with No Name,8.36
Mezquita,Aguas del Guadalquivir,8.34
Focus,Focus II,8.31
Kajagoogoo,Turn Your Back on Me - Thompson & Barbiero US Mix,8.29
Kajagoogoo,Part of Me Is You,8.29
Mezquita,Así Soy Yo,8.27
Yes,Don't Kill the Whale,8.27
Kraan,Andy Nogger,8.22
Franco Battiato,Running Against The Grain,8.2
Curved Air,Back Street Luv,8.16
The Rolling Stones,The Spider And The Fly - Remastered 2002,8.16
The Dandy Warhols,Big Indian,8.15
Talking Heads,Animals - 2005 Remaster,8.12
The Pretty Things,Mr Evasion,8.12
Fleetwood Mac,Rattlesnake Shake - 2013 Remaster,8.12
Franco Battiato,Le aquile non volano a stormi,8.11
The Dandy Warhols,Horse Pills,8.09
Franco Battiato,Tra sesso e castità,8.09
Franco Battiato,Voglio Vederti Danzare - Live 1988 / Remastered 2020,8.09
Mezquita,Mente de Mi Subconsciente,8.07
The Dandy Warhols,Country Leaver,8.07
Jimmy Smith,The Cat,8.07
Premiata Forneria Marconi,Transumanza jam - Live in Lugano,8.07
Violeta Parra,Paloma Ausente,8.02
The Dandy Warhols,Get Off,8.0
The Beatles,Hey Bulldog - Remastered 2009,8.0
Camel,The Snow Goose - Remastered 2023,8.0
The Dandy Warhols,Solid,7.98
Yes,Sound Chaser - Single Edit,7.98
Van Der Graaf Generator,Theme One - New Stereo Mix 2021,7.98
Mezquita,Cara Sin Cruz,7.98
The Beatles,Octopus's Garden - Remastered 2009,7.85
The Beach Boys,Pet Sounds,7.75
Jimmy Giuffre,The Butterfly - Remastered,7.67
The Beatles,Blackbird - Remastered 2009,7.59
Frank Zappa,Dog Breath Variations,7.49
