track_id,album_id,artist_id,track,artist,album_name,played_at,duration_ms,year,month,day,played_at_hour,duration_mins,track_score,track_score_daily
4bNrvwJ73isVriCsF0Fbu3,0HoF3Ir1IYbIkvrxXrLGOB,7AC976RDJzL2asmZuz7qil,Run Through the Light,Yes,Drama (Deluxe Edition),2026-05-14T19:45:18,282613,2026,5,14,19,4.71,29.94,"0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
16RwWPdReQnTTTatKk7uP8,0JJ0qVd11AaAea718zdKCj,4RuYtHjAKBufQRqBUMiOfK,Taxi,Banco Del Mutuo Soccorso,I Più Grandi Successi,2026-05-15T16:31:49,282693,2026,5,15,16,4.71,29.94,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0"
0y1kwYGw5pQrXlJ1WdiTpF,1CURXLSb41eyrjvRzHWQkG,7siPLyFwRFYQkKgWKJ5Sod,And Then I Dreamt of Yes,The Dandy Warhols,Earth to the Dandy Warhols,2026-05-09T10:32:52,282333,2026,5,9,10,4.71,29.93,"0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
3OkkbEpEUocDtiDjqC1CW0,7oT1CbeyKlCJOsxmELnMMW,5hlBb5u8K5D8yrL8jwZ7N9,Recuerdos de una noche,Triana,El patio 40 Aniversario,2026-05-03T16:16:20,282400,2026,5,3,16,4.71,29.93,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
4dbkLjN9IDo10Hr0j1zexs,2U4JHXMiBxsKH4dnYEQg2g,7AC976RDJzL2asmZuz7qil,Vevey (Revisited) - 2003 Remaster,Yes,Going for the One (Deluxe Edition),2026-05-13T13:06:03,282213,2026,5,13,13,4.7,29.92,"0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0"
3coFCSRPmQ3U0sy6tiWyWy,5qAYH7QgYU3oxmxfbXwCiI,4RuYtHjAKBufQRqBUMiOfK,Nel Cielo E Nelle Altre Cose Mute (Do Largo) - Remastered 2022,Banco Del Mutuo Soccorso,...Di Terra (Remastered 2022),2026-05-15T17:05:00,280799,2026,5,15,17,4.68,29.88,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0"
1ssHP4hPlQFqRA9cPSG7PG,3gISC18IyM5W4fd3bVz9hk,1MD5pgVzlusqGyuSTcTxvu,Sono Un Dio,Premiata Forneria Marconi,Serendipity,2026-05-16T19:26:28,279666,2026,5,16,19,4.66,29.84,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0"
6Vvxx8epJZXAoWNAKmIeJY,0eOBTsAhFUTOOcAcxJNE3V,02frazNrWgZCxUEf4UTfHt,The Habit Of The Broken Heart - 2005 Digital Remaster,Van Der Graaf Generator,The Quiet Zone/The Pleasure Dome,2026-05-18T20:15:21,279378,2026,5,18,20,4.66,29.83,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0"
1NiBRKLnlPurkOs9F1DJHJ,6eYidTACXD5W50kNcfMMhQ,02frazNrWgZCxUEf4UTfHt,The Hurlyburly,Van Der Graaf Generator,Trisector,2026-05-19T14:16:41,278560,2026,5,19,14,4.64,29.81,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1"
2FK6SnUKJY8m8kVBmdQbSM,5A1knO3o9ippL0nFuKl0Kh,7M1FPw29m5FbicYzS2xdpi,Walking On Air,King Crimson,THRAK,2026-05-15T08:16:47,277987,2026,5,15,8,4.63,29.79,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0"
03eLKI5mewmJqp5eY0WkPT,68W3ppXWhsOLOURmxzRkyA,7M1FPw29m5FbicYzS2xdpi,Cadence and Cascade,King Crimson,In The Wake Of Poseidon,2026-05-09T19:09:15,277659,2026,5,9,19,4.63,29.78,"0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
2JIz68trc1MoxBhIRoTxWU,5A1knO3o9ippL0nFuKl0Kh,7M1FPw29m5FbicYzS2xdpi,VROOOM,King Crimson,THRAK,2026-05-15T08:02:49,277506,2026,5,15,8,4.63,29.77,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0"
2K8kAIrTDYZtWpdL8CaYBO,0JJ0qVd11AaAea718zdKCj,4RuYtHjAKBufQRqBUMiOfK,Buone notizie,Banco Del Mutuo Soccorso,I Più Grandi Successi,2026-05-15T16:06:05,276733,2026,5,15,16,4.61,29.75,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0"
2rWEbA4iZyJ0jMthYmKkSs,1WeTsUeoyJBDYiqdoCtO8I,4RuYtHjAKBufQRqBUMiOfK,Fino Alla Mia Porta,Banco Del Mutuo Soccorso,Come in un'ultima cena,2026-05-01T10:37:02,276333,2026,5,1,10,4.61,29.73,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
