track_id,track,plays,track_unique_days,log_dur_min,track_score
0PwsGauzby8L05mTiy4ujH,Words On A Page,2,2,1.308332819650179,6.57
2WLsPVRPaBHARiMptJwMsn,Running Against The Grain,2,2,1.308332819650179,6.57
5vGeP5Hor6fQiiAGdeH4Ft,Transumanza Jam,2,2,1.3001916620664788,6.56
3Y84GaPc2JTCQLF8gRLVJt,L'Era Del Cinghiale Bianco,2,2,1.2892326482767593,6.55
0UeKMKb98sqhKhbKYdCxf4,The Spider And The Fly,2,2,1.2892326482767593,6.55
6vXIkR2kEsGFPm82hWweNI,Back Street Luv,2,2,1.2864740258376797,6.54
3svZfiRtX6u6sbxYXtw2Mq,Rent,2,2,1.2809338454620642,6.54
1ZxR5QzgmSZkArHn7p8wor,Aria Di Rivoluzione,2,2,1.2725655957915476,6.53
1nc3Iey4wwbielZEry1Px7,Sartori in Tangier,2,2,1.275362800412609,6.53
17HWZkS1MhZbkYPWeizgMa,Ooh to Be Ah,2,2,1.2781522025001875,6.53
0gRSn1jEA7c8RYZmwyF0YZ,Big Indian,2,2,1.275362800412609,6.53
6PnG9i1lpihdIBHHFg0M6Y,Mr Evasion,2,2,1.2556160374777743,6.51
4KvZyvmPbLzCMn5Hfd1Deo,Summer On A Solitary Beach,2,2,1.2556160374777743,6.51
4y32yPTgB29d7BHWfVYTBV,White Feathers,2,2,1.2584609896100056,6.51
0xSvfXYyDqQ3sncpGveHbg,Rattlesnake Shake,2,2,1.252762968495368,6.5
7oXOoyO2LGsl3zWqrRVZyY,Le aquile non volano a stormi,2,2,1.235471471385307,6.48
0dRZS5myf8NifPqgRwA986,Tra sesso e castità,2,2,1.2296405510745139,6.48
4VHnUCXPoZjYw25iJJ0Ahm,Horse Pills,2,2,1.2267122912954254,6.47
1AZ5G23Kcn9h5Awws5Ekf3,The Cat,2,2,1.2237754316221157,6.47
0nPOThAOyc6nbh4Nbanf7f,Country Leaver,2,2,1.2178757094949273,6.46
0C1zYfc9awIJGuFV1vRrdi,Mente de Mi Subconsciente,2,2,1.2178757094949273,6.46
7klINw0NwgTxxuIo3T9IKs,Alexander Platz,2,2,1.220829921392359,6.46
6tRQbnLLjMvh5Zx8ipd0SS,Mondi Paralleli,2,2,1.1908875647772805,6.43
0wORXH5RaIXOxKnyltuF9e,Get the Balance Right!,2,2,1.1755733298042381,6.41
2z6pwfOc3v5v34b5T1N9dn,Paloma Ausente,2,2,1.172482137234565,6.41
3red9xwXz8hU4XRNuZhr6d,Il Dono Del Cervo,2,2,1.169381359556317,6.4
5RETGB7Fe6KxAEXevMpmTu,The Snow Goose,2,2,1.1631508098056809,6.4
