track_id,album_id,artist_id,track,artist,album_name,played_at,duration_ms,dt,day,hour,month,hlp,duration_min,track_short,time_of_day
0fxDYksHuKyR5AX6dy446g,79IlwWTziJbkzjN8qio1KC,4P70aqttdpJ9vuYFDmf7f6,Soil Festivities: Movement 4 - Remastered,Vangelis,Soil Festivities (Remastered),2026-06-13T19:38:35,594146,2026-06-13,13,19,6,1,9.9,Soil Festivities: Movement 4,abends
0UaPBTd6lymErITHO0FLZQ,79IlwWTziJbkzjN8qio1KC,4P70aqttdpJ9vuYFDmf7f6,Soil Festivities: Movement 3 - Remastered,Vangelis,Soil Festivities (Remastered),2026-06-13T19:28:41,366773,2026-06-13,13,19,6,1,6.11,Soil Festivities: Movement 3,abends
2OIcJNXh2RKY9i13XN7d11,79IlwWTziJbkzjN8qio1KC,4P70aqttdpJ9vuYFDmf7f6,Soil Festivities: Movement 2 - Remastered,Vangelis,Soil Festivities (Remastered),2026-06-13T19:22:34,378853,2026-06-13,13,19,6,1,6.31,Soil Festivities: Movement 2,abends
2Kt7NJxYjDJqlIKReTah23,79IlwWTziJbkzjN8qio1KC,4P70aqttdpJ9vuYFDmf7f6,Soil Festivities: Movement 1 - Remastered,Vangelis,Soil Festivities (Remastered),2026-06-13T19:16:15,1055106,2026-06-13,13,19,6,1,17.59,Soil Festivities: Movement 1,abends
6LjRVYAhrh0IIWmZM3TOap,1XKas9POCVwPSp4f7sKY4Z,3qlU3Nyu3XXO2k9AUnTcy1,La volpe,Angelo Branduardi,Cercando l'oro,2026-06-13T14:32:20,259466,2026-06-13,13,14,6,1,4.32,La volpe,nachmittags
4XjD0U41aluU6VHpAA4mZh,3ce3OUOJdhe09xmsBv9eIv,2KUvztaZ23NwLaNMD2qElz,Sidi,Hamid Baroudi,Sidi,2026-06-14T15:43:06,216466,2026-06-14,14,15,6,1,3.61,Sidi,nachmittags
2Nni71IoglsiwgBHOeHNGq,49WbUhzzdloagcrZKn0LhB,5ft8eSmAtVQhX1B7LnCYCn,Prophète,Youmni Rabii,"Raï, the Gold Collection",2026-06-14T15:39:29,334786,2026-06-14,14,15,6,1,5.58,Prophète,nachmittags
6Hyt6tjMs7CIvysRKFNSQZ,4pUoU89OnJtWvqJiREjaV5,364dHqe2BwXqmOhgdBXpw8,NAKHLA,Cheikha Rimitti,Nouar,2026-06-14T15:33:53,376786,2026-06-14,14,15,6,1,6.28,NAKHLA,nachmittags
5cebegSM9bJ0LQNhJfKQMC,0Y0bEGAD1vkKyeRj2S4tIP,2KUvztaZ23NwLaNMD2qElz,Caravan II Bagdad,Hamid Baroudi,City No Mad,2026-06-14T15:27:36,275026,2026-06-14,14,15,6,1,4.58,Caravan II Bagdad,nachmittags
0Phx8Faea2XGf6XSIxCcqA,7JiTkfgNZqx6TSfVfLBpAJ,28ztjHIXceRRntmTUfnmUX,Alech Taadi,Khaled,N'Ssi N'Ssi,2026-06-14T15:23:01,248573,2026-06-14,14,15,6,1,4.14,Alech Taadi,nachmittags
0j0H89PNXFvFQKvdrBIE0f,0Y0bEGAD1vkKyeRj2S4tIP,2KUvztaZ23NwLaNMD2qElz,African Soul,Hamid Baroudi,City No Mad,2026-06-14T15:18:52,332266,2026-06-14,14,15,6,1,5.54,African Soul,nachmittags
3tVN8KCq7cMFqZsZF59pOh,0aAfFqBB1IseMDXBHWkT20,7LGjULfs3CUorLei47BKKk,Three Fish in the Desert,Dissidenten,Out Of This World,2026-06-14T15:13:19,235266,2026-06-14,14,15,6,1,3.92,Three Fish in the Desert,nachmittags
0tpHc7W8tgAZiSqjRij1kx,5xiRBGrHxPjEaqOn8Kaumm,7LGjULfs3CUorLei47BKKk,Inshallah - Live,Dissidenten,Live Series - Bari 05/1987,2026-06-14T15:09:23,489840,2026-06-14,14,15,6,1,8.16,Inshallah,nachmittags
4qinoxrz0FvfkN2rP9UlaR,5xiRBGrHxPjEaqOn8Kaumm,7LGjULfs3CUorLei47BKKk,Berlin Beduins - Live,Dissidenten,Live Series - Bari 05/1987,2026-06-14T15:01:13,473440,2026-06-14,14,15,6,1,7.89,Berlin Beduins,nachmittags
2pnai0Wpjq8aqFXveH1xPN,5xiRBGrHxPjEaqOn8Kaumm,7LGjULfs3CUorLei47BKKk,Bajka's Gnaoui - Live,Dissidenten,Live Series - Bari 05/1987,2026-06-14T14:53:12,397453,2026-06-14,14,14,6,1,6.62,Bajka's Gnaoui,nachmittags
675Ju6edXRFNsx4diNkIbx,5xiRBGrHxPjEaqOn8Kaumm,7LGjULfs3CUorLei47BKKk,This Is Not America - Live,Dissidenten,Live Series - Bari 05/1987,2026-06-14T14:46:34,388853,2026-06-14,14,14,6,1,6.48,This Is Not America,nachmittags
7d7vaPxIlqSDaKMg7qyQ7w,5xiRBGrHxPjEaqOn8Kaumm,7LGjULfs3CUorLei47BKKk,Fata Morgana - Live,Dissidenten,Live Series - Bari 05/1987,2026-06-14T14:40:06,509240,2026-06-14,14,14,6,1,8.49,Fata Morgana,nachmittags
4pr5dc7UzrUWZvXHiyU5aP,5xiRBGrHxPjEaqOn8Kaumm,7LGjULfs3CUorLei47BKKk,Sultan Swing - Live,Dissidenten,Live Series - Bari 05/1987,2026-06-14T14:31:36,515080,2026-06-14,14,14,6,1,8.58,Sultan Swing,nachmittags
2ThLRSsFtkGBZoresTvOzF,5xiRBGrHxPjEaqOn8Kaumm,7LGjULfs3CUorLei47BKKk,Telephone Arab - Live,Dissidenten,Live Series - Bari 05/1987,2026-06-14T14:23:01,403813,2026-06-14,14,14,6,1,6.73,Telephone Arab,nachmittags
3VRXKL9l9Nl4LNXGGgtEMF,5PFw2PRIpkY5OgXl69lib2,1yTEkYjWeeo4ANkbvUTiFG,Tadpole,Kraan,All In,2026-06-14T08:47:53,409590,2026-06-14,14,8,6,1,6.83,Tadpole,vormittags
4TU45ZuIGrgOjUnZp2tjQz,5PFw2PRIpkY5OgXl69lib2,1yTEkYjWeeo4ANkbvUTiFG,Petunha,Kraan,All In,2026-06-14T08:41:03,196759,2026-06-14,14,8,6,1,3.28,Petunha,vormittags
3J7oNqzKPmuowwyi4rg8m1,0aAfFqBB1IseMDXBHWkT20,7LGjULfs3CUorLei47BKKk,Radio Arabia,Dissidenten,Out Of This World,2026-06-14T08:35:37,237400,2026-06-14,14,8,6,1,3.96,Radio Arabia,vormittags
1yrtspBF0Aey9BTGF5Iv03,0aAfFqBB1IseMDXBHWkT20,7LGjULfs3CUorLei47BKKk,Out of This World,Dissidenten,Out Of This World,2026-06-14T08:31:40,241600,2026-06-14,14,8,6,1,4.03,Out of This World,vormittags
4d7r9V4wY2SAa28gEyoWYu,0aAfFqBB1IseMDXBHWkT20,7LGjULfs3CUorLei47BKKk,Grand Babylon Hotel,Dissidenten,Out Of This World,2026-06-14T08:27:38,321826,2026-06-14,14,8,6,1,5.36,Grand Babylon Hotel,vormittags
0An6E02MWThYpARIm0mOFn,0aAfFqBB1IseMDXBHWkT20,7LGjULfs3CUorLei47BKKk,The Dreams and the Loaf of Bread,Dissidenten,Out Of This World,2026-06-14T08:22:16,234306,2026-06-14,14,8,6,1,3.91,The Dreams and the Loaf of Bread,vormittags
5GcKcEaMOViIyiWhL4Fe1J,0aAfFqBB1IseMDXBHWkT20,7LGjULfs3CUorLei47BKKk,Shake the Sheikh,Dissidenten,Out Of This World,2026-06-14T08:18:22,282666,2026-06-14,14,8,6,1,4.71,Shake the Sheikh,vormittags
6exRLA0iowiRSLOCLcWBik,0aAfFqBB1IseMDXBHWkT20,7LGjULfs3CUorLei47BKKk,Walking the Camel,Dissidenten,Out Of This World,2026-06-14T08:13:40,299560,2026-06-14,14,8,6,1,4.99,Walking the Camel,vormittags
35y5fzkQaMKr9wT9vjeoi1,0aAfFqBB1IseMDXBHWkT20,7LGjULfs3CUorLei47BKKk,Cairo by Night,Dissidenten,Out Of This World,2026-06-14T08:08:40,215400,2026-06-14,14,8,6,1,3.59,Cairo by Night,vormittags
3tVN8KCq7cMFqZsZF59pOh,0aAfFqBB1IseMDXBHWkT20,7LGjULfs3CUorLei47BKKk,Three Fish in the Desert,Dissidenten,Out Of This World,2026-06-14T08:05:05,235266,2026-06-14,14,8,6,1,3.92,Three Fish in the Desert,vormittags
1nc3Iey4wwbielZEry1Px7,6gp8D4NmYCcBz55J0s4QXH,7M1FPw29m5FbicYzS2xdpi,Sartori in Tangier,King Crimson,Beat,2026-06-15T19:36:57,214760,2026-06-15,15,19,6,1,3.58,Sartori in Tangier,abends
